Feature,Importance
SatisfactionScore,0.19130383111819943
LoyaltyScore,0.11692025468520496
Contract,0.1071276682475956
LastInteractionDays,0.07650098111805465
Complaints,0.07565033666939615
CustomerHealthScore,0.06076292726411843
Tenure,0.029981331909835922
TotalCharges,0.02777887017918271
AvgSessionTime,0.02512361005738748
ComplaintRatio,0.025066325771507202
LatePayments,0.024007839881728738
EngagementScore,0.023286906782415344
AvgMonthlySpend,0.023020519670540075
PaymentRisk,0.022629068824230082
UsageHours,0.022349533251181955
SupportTickets,0.021822290901608553
MonthlyCharges,0.020750525520761478
LoginFrequency,0.018144634218226367
CustomerLifetimeValue,0.013999686556460646
MultipleLines,0.009586173578293973
ServiceEngagement,0.007513023358097396
Partner,0.007159708271033443
TenureGroup,0.006653032813295085
UsageCategory,0.006202263225623907
PaymentMethod,0.004845938611228863
DeviceProtection,0.004765919926154558
TechSupport,0.004693870243805529
InternetService,0.004386260116093306
SeniorCitizen,0.0036972978660989673
StreamingTV,0.0032355035804163264
PaperlessBilling,0.0030037774895938086
Gender,0.0022044273516206147
Dependents,0.001628831927255222
OnlineSecurity,0.0014468014201162152
HighValueCustomer,0.00132047984457863
OnlineBackup,0.0007531938643756272
StreamingMovies,0.0006763538846828069
PhoneService,0.0
